--- Page SEO Audit ---
src\app\(public)\about\page.tsx                                   | Metadata: YES | JSON-LD: YES
src\app\(public)\blog\page.tsx                                    | Metadata: YES | JSON-LD: NO 
src\app\(public)\blog\[slug]\page.tsx                             | Metadata: YES | JSON-LD: YES
src\app\(public)\book\page.tsx                                    | Metadata: NO  | JSON-LD: NO 
src\app\(public)\booking\page.tsx                                 | Metadata: NO  | JSON-LD: NO 
src\app\(public)\contact\page.tsx                                 | Metadata: YES | JSON-LD: YES
src\app\(public)\cookie-preferences\page.tsx                      | Metadata: NO  | JSON-LD: NO 
src\app\(public)\fleet\gmc-yukon-at4\page.tsx                     | Metadata: YES | JSON-LD: YES
src\app\(public)\fleet\hyundai-starex\page.tsx                    | Metadata: YES | JSON-LD: YES
src\app\(public)\fleet\hyundai-staria\page.tsx                    | Metadata: YES | JSON-LD: YES
src\app\(public)\fleet\page.tsx                                   | Metadata: YES | JSON-LD: NO 
src\app\(public)\fleet\toyota-camry\page.tsx                      | Metadata: YES | JSON-LD: YES
src\app\(public)\fleet\toyota-coaster\page.tsx                    | Metadata: YES | JSON-LD: YES
src\app\(public)\fleet\toyota-hiace\page.tsx                      | Metadata: YES | JSON-LD: YES
src\app\(public)\page.tsx                                         | Metadata: YES | JSON-LD: YES
src\app\(public)\privacy\page.tsx                                 | Metadata: NO  | JSON-LD: NO 
src\app\(public)\rate\[id]\page.tsx                               | Metadata: NO  | JSON-LD: NO 
src\app\(public)\resources\page.tsx                               | Metadata: YES | JSON-LD: NO 
src\app\(public)\routes\page.tsx                                  | Metadata: YES | JSON-LD: YES
src\app\(public)\routes\[slug]\page.tsx                           | Metadata: YES | JSON-LD: YES
src\app\(public)\safety\page.tsx                                  | Metadata: YES | JSON-LD: YES
src\app\(public)\services\airport-transfers\page.tsx              | Metadata: YES | JSON-LD: YES
src\app\(public)\services\hotel-transfers\page.tsx                | Metadata: YES | JSON-LD: NO 
src\app\(public)\services\intercity-transfer\page.tsx             | Metadata: YES | JSON-LD: YES
src\app\(public)\services\jeddah-airport-transfer\page.tsx        | Metadata: NO  | JSON-LD: YES
src\app\(public)\services\madinah-airport-transfer\page.tsx       | Metadata: NO  | JSON-LD: YES
src\app\(public)\services\makkah-madinah-taxi\page.tsx            | Metadata: NO  | JSON-LD: YES
src\app\(public)\services\page.tsx                                | Metadata: YES | JSON-LD: YES
src\app\(public)\services\ramadan-transport\page.tsx              | Metadata: NO  | JSON-LD: YES
src\app\(public)\services\ziyarat-tours\page.tsx                  | Metadata: NO  | JSON-LD: YES
src\app\(public)\terms\page.tsx                                   | Metadata: NO  | JSON-LD: NO 
src\app\(public)\track-booking\page.tsx                           | Metadata: NO  | JSON-LD: NO 
